date,geography,geography code,Country of birth: Total; measures: Value,Country of birth: Europe; measures: Value,Country of birth: Europe: United Kingdom; measures: Value,Country of birth: Europe: EU countries; measures: Value,Country of birth: Europe: EU countries: European Union EU14; measures: Value,Country of birth: Europe: EU countries: European Union EU8; measures: Value,Country of birth: Europe: EU countries: European Union EU2; measures: Value,Country of birth: Europe: EU countries: All other EU countries; measures: Value,Country of birth: Europe: Non-EU countries; measures: Value,Country of birth: Europe: Non-EU countries: All other non-EU countries; measures: Value,Country of birth: Africa; measures: Value,Country of birth: Middle East and Asia; measures: Value,Country of birth: The Americas and the Caribbean; measures: Value,Country of birth: Antarctica and Oceania (including Australasia) and Other; measures: Value,Country of birth: British Overseas ; measures: Value
2021,Birmingham 037H,E01034920,1882,1133,1052,75,62,9,4,0,6,6,91,638,17,1,2
2021,Birmingham 039A,E01009275,1789,1071,940,129,50,53,25,1,2,2,126,526,66,0,0
2021,Birmingham 039B,E01009350,1630,982,870,100,62,24,12,2,12,12,84,511,50,1,2
2021,Birmingham 039C,E01009352,1807,1056,1009,42,30,6,6,0,5,5,151,541,55,1,3
2021,Birmingham 039D,E01009353,1712,1032,942,82,46,13,23,0,8,8,82,555,43,0,0
2021,Birmingham 039E,E01009355,1435,891,814,67,35,24,6,2,10,10,139,342,61,0,2
2021,Birmingham 039I,E01034921,1426,755,606,133,47,42,44,0,16,16,50,588,31,0,2
2021,Birmingham 039J,E01034922,1603,895,774,113,37,48,27,1,8,8,87,532,88,0,1
2021,Birmingham 040A,E01008905,1946,1183,1112,69,51,18,0,0,2,2,58,689,15,0,1
2021,Birmingham 040B,E01008907,1804,1122,1028,89,41,32,16,0,5,5,155,420,103,0,4
2021,Birmingham 040C,E01009047,1798,1077,1037,37,22,5,10,0,3,3,177,480,60,1,3
2021,Birmingham 040D,E01009048,2048,1393,1245,147,53,53,40,1,1,1,188,379,82,0,6
2021,Birmingham 040E,E01009062,1855,1111,1013,85,49,13,23,0,13,13,113,586,42,0,3
2021,Birmingham 041D,E01008909,2123,1358,1209,133,86,35,12,0,16,16,291,370,91,1,12
2021,Birmingham 041H,E01034923,1758,1126,1049,75,53,15,7,0,2,2,104,475,48,0,5
2021,Birmingham 041I,E01034924,1560,872,807,55,43,4,8,0,10,10,181,456,50,0,1
2021,Birmingham 041J,E01034925,1689,998,916,66,37,27,2,0,16,16,222,377,84,0,8
2021,Birmingham 041K,E01034926,1541,947,894,47,35,4,8,0,6,6,132,352,97,0,13
2021,Birmingham 042A,E01009084,1991,1537,1457,75,22,7,41,5,5,5,28,415,11,0,0
2021,Birmingham 042B,E01009085,2098,1509,1471,28,19,1,6,2,10,10,23,550,15,1,0
2021,Birmingham 042C,E01009087,1792,1455,1348,103,30,19,54,0,4,4,37,294,6,0,0
2021,Birmingham 042D,E01009089,1791,1422,1359,63,41,13,9,0,0,0,34,324,10,0,1
2021,Birmingham 042E,E01009090,2150,1584,1511,68,41,16,7,4,5,5,26,524,13,3,0
2021,Birmingham 043A,E01009201,1951,1371,1183,172,142,7,23,0,16,16,253,252,65,2,8
2021,Birmingham 043B,E01009202,1784,1296,1162,120,71,29,20,0,14,14,213,218,56,0,1
2021,Birmingham 043D,E01034927,1770,1165,1023,125,102,20,3,0,17,17,391,143,60,1,10
2021,Birmingham 043E,E01034928,1505,885,731,121,85,34,2,0,33,33,484,97,34,1,4
2021,Birmingham 044A,E01009082,1514,1222,1145,73,42,5,24,2,4,4,71,202,19,0,0
2021,Birmingham 044B,E01009086,2207,1596,1504,80,42,6,32,0,12,12,56,530,24,1,0
2021,Birmingham 044C,E01009480,2093,1526,1430,92,38,13,41,0,4,4,61,488,15,2,1
2021,Birmingham 044D,E01009481,2753,1940,1737,199,70,11,118,0,4,4,84,706,22,1,0
2021,Birmingham 044E,E01009486,2227,1557,1363,180,45,13,120,2,14,14,77,568,24,0,1
2021,Birmingham 044F,E01009487,2197,1524,1422,98,41,1,56,0,4,4,34,613,23,2,1
2021,Birmingham 045A,E01009088,1593,1385,1348,33,27,6,0,0,4,4,23,168,16,0,1
2021,Birmingham 045B,E01009091,1674,1436,1369,60,30,21,8,1,7,7,42,169,23,1,3
2021,Birmingham 045C,E01009305,1677,1530,1456,65,31,20,14,0,9,9,53,77,17,0,0
2021,Birmingham 045D,E01009307,1558,1447,1382,58,19,29,10,0,7,7,28,62,19,1,1
2021,Birmingham 045E,E01009309,1833,1688,1577,106,38,48,19,1,5,5,43,76,24,1,1
2021,Birmingham 046A,E01009304,1848,1781,1705,74,35,35,4,0,2,2,16,41,9,0,1
2021,Birmingham 046B,E01009306,1684,1588,1501,85,27,21,35,2,2,2,28,47,20,0,1
